Rk,Team,G,MP,FG,FGA,FG_percent,3P,3PA,ThreeP_percent,2P,2PA,TwoP_percent,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
13,Los Angeles Clippers*,72,241.4,39.5,90.2,0.438,12.3,35.6,0.345,27.2,54.6,0.499,18.5,24.5,0.756,10.7,34.6,45.3,23.7,7.5,4.7,14.1,22.9,109.9,2020
14,Chicago Bulls,65,241.2,39.5,82.5,0.479,11.2,31.6,0.353,28.3,50.9,0.557,19.7,26,0.759,10.2,35.4,45.5,25.4,8.2,5.9,18.3,19.2,109.9,2020
15,Detroit Pistons,66,241.9,41.9,87.3,0.48,10.7,29.6,0.361,31.3,57.8,0.541,16.2,20.9,0.777,10.1,33.4,43.5,24.6,8.2,5.6,14,19.8,110.8,2020
16,Sacramento Kings,72,242.4,40.3,85.5,0.471,12.4,34.8,0.357,27.8,50.7,0.549,19.2,24.3,0.79,9.1,34.5,43.5,24.9,7.7,4.2,15.2,19.5,112.1,2020
17,Dallas Mavericks*,75,242.3,41.9,91.6,0.458,12.3,34.9,0.351,29.7,56.7,0.523,16,21,0.76,10.4,35,45.4,23.9,7,4.1,11.9,21.3,112.1,2020
18,Brooklyn Nets*,72,242.8,41.4,92.9,0.446,12.2,34.8,0.35,29.2,58.1,0.503,17.4,22.6,0.769,10.6,35.3,45.9,22.6,7.7,5.3,12.8,21.1,112.3,2020
19,New York Knicks,66,241.9,39.9,86,0.463,13.3,34.9,0.381,26.6,51.1,0.52,19.2,25.7,0.749,9.6,34.6,44.2,24.3,7.2,5,13.7,19.8,112.3,2020
20,Phoenix Suns,73,241,41.2,87.4,0.472,11.6,32,0.363,29.6,55.4,0.535,19.3,24.5,0.788,9.1,34.2,43.3,23.6,7.9,5.5,15.6,22.6,113.4,2020
21,Memphis Grizzlies,73,240.7,40.6,90.3,0.45,12.9,35.3,0.365,27.7,55,0.504,19.6,25,0.782,10.4,34.5,44.9,24.8,8,5.3,14.8,20.2,113.7,2020
22,Houston Rockets*,72,241.4,42.3,91.5,0.462,12.2,35,0.349,30.1,56.5,0.532,18,23.7,0.761,11.2,36.7,47.9,25.3,8,4.9,16.2,21,114.8,2020
